,G1,G2,F_BUS,T_BUS,TYPE,DONE,TAP,Total,Error
E1_PF,38.60822915653255,0.0,1,2,E,True,1.0,38.60822915653255,0.0
E1_PT,36.54534971341353,0.0,1,2,E,True,1.0,36.54534971341353,0.0
E2_PF,46.118563125940526,0.0,1,3,E,True,1.0,46.118563125940526,-7.105427357601002e-15
E2_PT,43.506108377196696,0.0,1,3,E,True,1.0,43.506108377196696,-7.105427357601002e-15
E3_PF,4.230269960050788,2.31507975336086,2,3,E,True,1.0,6.545349713411648,0.0
E3_PT,4.197012514001344,2.2968791087862437,2,3,E,True,1.0,6.493891622787587,0.0
L2,32.31507975336153,17.684920246638477,2,0,L,True,1.0,50.00000000000001,7.105427357601002e-15
L3,47.70312089121303,2.2968791087869653,3,0,L,True,1.0,50.0,0.0
G1,84.72679228247308,0.0,0,1,G,True,1.0,84.72679228247308,0.0
G2,0.0,20.0,0,2,G,True,1.0,20.0,0.0
