ID,F_BUS,T_BUS,PF,PT,TYPE,TAP
E1,2,1,12.450419669718023,12.35281250578166,E,1.0
E2,3,1,38.89728125040296,38.647187494218045,E,1.0
E3,5,4,103.4306351288378,103.2297450856633,E,1.0
E4,5,3,69.3489817735336,68.1105078384542,E,1.0
E5,5,6,88.47041647462535,87.53993148336744,E,1.0
E6,6,7,35.539931483367525,35.47982947703188,E,1.0
E7,9,8,445.2546498499089,440.6350124601621,E,1.0
E8,8,5,338.47469807164833,338.47469807164833,E,0.985
E9,10,9,450.00000000000034,445.2546498499089,E,1.0
E10,4,11,64.22974508566422,63.36397523001328,E,1.0
E11,5,11,77.22466469465087,76.01585591859899,E,1.0
E12,11,12,34.29464832125798,34.14788138163707,E,1.0
E13,12,2,32.73265413870359,32.450419669718286,E,1.0
E14,12,3,9.893208625642886,9.786773411948658,E,1.0
E15,7,12,16.47982947703232,16.45265817198353,E,1.0
E16,11,13,35.0851828273543,34.7681440669203,E,1.0
E17,12,14,18.31435509741164,18.238069413558712,E,1.0
E18,13,15,0.7681440669202021,0.7670257480027939,E,1.0
E19,14,15,4.238069413558625,4.207950129306395,E,1.0
E20,12,16,7.507771753782158,7.48938391052692,E,1.0
E21,17,15,105.43902209893055,103.8567934936515,E,1.0
E22,17,16,17.65537396508003,17.510616089473015,E,1.0
E23,17,18,80.27018220471722,79.3896376350388,E,1.0
E24,18,19,19.389637635039158,19.309531642288604,E,1.0
E25,20,19,10.666677286019134,10.6242749341824,E,1.0
E26,15,19,11.525316558533836,11.47492775598439,E,1.0
E27,21,20,28.837400573954298,28.666677286018967,E,1.0
E28,22,21,43.255745145630684,42.837400573954184,E,1.0
E29,23,22,54.29733753604581,53.255745145630726,E,1.0
E30,23,24,8.28367197720895,8.251888003887856,E,1.0
E31,25,23,166.76447777907134,162.5630171378254,E,1.0
E32,26,25,90.28907762771847,90.28907762771867,E,0.96
E33,25,27,143.52459984864728,137.12658351740922,E,1.0
E34,27,28,32.875764957897744,32.65507283101876,E,1.0
E35,28,29,15.655072831018673,15.584590155451112,E,1.0
E36,30,17,231.18684106577666,231.18684106577675,E,0.96
E37,8,30,74.16031438852035,73.80541037256647,E,1.0
E38,26,30,223.71092237227757,219.732807303741,E,1.0
E39,17,31,14.765926596511195,14.574351202350316,E,1.0
E40,31,29,8.431593655140809,8.415409844548611,E,1.0
E41,23,32,92.98200762457051,90.20063159643334,E,1.0
E42,32,31,30.200022123655813,29.85724245279068,E,1.0
E43,27,32,12.527077472273811,12.486987995144123,E,1.0
E44,15,33,7.306452812426979,7.281458737331407,E,1.0
E45,34,19,3.647122413195722,3.5912656675446644,E,1.0
E46,35,36,0.838766660132045,0.8383460455940517,E,1.0
E47,37,35,33.9873983519728,33.83876666013087,E,1.0
E48,37,33,15.861142813096224,15.718541262668358,E,1.0
E49,34,36,30.24617046733559,30.161653954406344,E,1.0
E50,37,34,94.5926420442761,94.30695769375394,E,1.0
E51,38,37,243.37131830535478,243.37131830535466,E,0.935
E52,37,39,54.909023673868575,53.91681568255261,E,1.0
E53,37,40,44.021111422143086,42.84861983401552,E,1.0
E54,30,38,62.351376610540456,62.09096647669108,E,1.0
E55,39,40,26.91681568255266,26.76269128481413,E,1.0
E56,40,41,15.447522598719859,15.410267050124734,E,1.0
E57,42,40,11.929526149224507,11.836211479890274,E,1.0
E58,42,41,21.810922331338382,21.58973294987537,E,1.0
E59,44,43,16.769854033424732,16.592961990473253,E,1.0
E60,34,43,1.4136648132239364,1.407038009526678,E,1.0
E61,45,44,33.02804103076789,32.769854033424686,E,1.0
E62,46,45,36.8720149050562,36.32788663267369,E,1.0
E63,47,46,31.475295128865298,31.111090108831245,E,1.0
E64,48,46,14.897644436190488,14.760924796224998,E,1.0
E65,49,47,9.570485224123937,9.535204595280442,E,1.0
E66,49,42,68.03673488235609,64.87022424028139,E,1.0
E67,49,42,68.03673488235609,64.87022424028139,E,1.0
E68,49,45,51.43668262574469,49.700154398094085,E,1.0
E69,49,48,35.10947669842436,34.89764443619004,E,1.0
E70,49,50,53.65996555799638,52.87543089418406,E,1.0
E71,49,51,66.62737248789664,64.34508808910108,E,1.0
E72,51,52,28.55880171226209,28.37136249099728,E,1.0
E73,52,53,10.371362490997491,10.317214222526927,E,1.0
E74,54,53,12.735155036437884,12.682785777473107,E,1.0
E75,49,54,37.76583919487222,36.57529108279039,E,1.0
E76,49,54,37.74421101360625,36.37894650436651,E,1.0
E77,54,55,7.073443320530531,7.06312416828752,E,1.0
E78,54,56,18.528015706728485,18.517004205719815,E,1.0
E79,56,55,21.447731797391263,21.421302218731057,E,1.0
E80,57,56,23.21147529150455,22.988179309028553,E,1.0
E81,50,57,35.875430894183935,35.21147529150453,E,1.0
E82,58,56,6.685666628252729,6.666386797204943,E,1.0
E83,51,58,18.78628637683889,18.68566662825246,E,1.0
E84,59,54,30.904078005092934,30.38237647653962,E,1.0
E85,59,56,28.67405352148905,27.962977649718972,E,1.0
E86,59,56,30.07321617930449,29.31318383571896,E,1.0
E87,59,55,35.15551715401478,34.5155736129804,E,1.0
