ID,F_BUS,T_BUS,PF,PT,TYPE,TAP
E1,1,2,10.890572859384307,10.864279535785071,E,1.0
E2,1,3,15.083230197493581,14.956534996506715,E,1.0
E3,2,4,16.067334025612343,15.88932825908555,E,1.0
E4,3,4,12.556534972804162,12.538244378560211,E,1.0
E5,2,5,13.791855118767526,13.681590208861246,E,1.0
E6,2,6,20.275090369828106,19.98588821180352,E,1.0
E7,4,6,22.499134638999738,22.432943046237575,E,1.0
E8,5,7,13.681590188745533,13.561387515134953,E,1.0
E9,6,7,9.270031201068022,9.238612441753236,E,1.0
E10,6,8,24.82230991469626,24.6942457786484,E,1.0
E11,6,9,5.788958195273975,5.788958195273976,E,1.0
E12,6,10,3.307976114400277,3.307976114400277,E,1.0
E13,9,10,5.7889582098411685,5.7889582098411685,E,1.0
E14,12,4,1.6715620287675,1.6715620287674995,E,1.0
E15,13,12,36.999999996503256,36.99999999650326,E,1.0
E16,12,14,5.387777267210772,5.350953753221079,E,1.0
E17,12,15,9.477029234467182,9.4114764633922,E,1.0
E18,12,16,9.26363145964912,9.184094073241077,E,1.0
E19,15,14,0.8521875381446258,0.8490462419371188,E,1.0
E20,16,17,5.684094077085416,5.6534224173176915,E,1.0
E21,15,18,9.164594704160722,9.06778071313278,E,1.0
E22,18,19,5.867780714030913,5.845682480101572,E,1.0
E23,20,19,3.6632218115344934,3.654317502840318,E,1.0
E24,10,20,5.915586873348127,5.863221813294772,E,1.0
E25,10,17,3.369970804146068,3.3465775762443966,E,1.0
E26,21,10,2.2775105800321502,2.2338259389292165,E,1.0
E27,22,10,3.816959679597434,3.7547973995913773,E,1.0
E28,22,21,19.870610716352836,19.777510575982863,E,1.0
E29,23,15,8.91466656447381,8.805305769580865,E,1.0
E30,24,22,2.1758378239886063,2.09757039295989,E,1.0
E31,23,24,7.085333440242353,7.019055421380161,E,1.0
E32,25,24,3.8917707977426588,3.856782402375695,E,1.0
E33,25,26,3.5463941891996504,3.4999999998211817,E,1.0
E34,27,25,7.5007280461246575,7.438164986973263,E,1.0
E35,27,28,6.112995010702004,6.112995010702004,E,1.0
E36,27,29,6.173882002210096,6.083785911189028,E,1.0
E37,27,30,7.122394947671047,6.951090401110046,E,1.0
E38,29,30,3.683785909594939,3.6489095936350364,E,1.0
E39,28,8,5.3413788402797415,5.305754125651575,E,1.0
E40,28,6,0.7716161805216454,0.7704442331875749,E,1.0
L2,2,0,21.7,21.7,L,1.0
L3,3,0,2.4,2.4,L,1.0
L4,4,0,7.6,7.6,L,1.0
L7,7,0,22.8,22.8,L,1.0
L8,8,0,30.0,30.0,L,1.0
L10,10,0,5.8,5.8,L,1.0
L12,12,0,11.2,11.2,L,1.0
L14,14,0,6.2,6.2,L,1.0
L15,15,0,8.2,8.2,L,1.0
L16,16,0,3.5,3.5,L,1.0
L17,17,0,9.0,9.0,L,1.0
L18,18,0,3.2,3.2,L,1.0
L19,19,0,9.5,9.5,L,1.0
L20,20,0,2.2,2.2,L,1.0
L21,21,0,17.5,17.5,L,1.0
L23,23,0,3.2,3.2,L,1.0
L24,24,0,8.7,8.7,L,1.0
L26,26,0,3.5,3.5,L,1.0
L29,29,0,2.4,2.4,L,1.0
L30,30,0,10.6,10.6,L,1.0
G1,0,1,25.97380305687791,25.97380305687791,G,1.0
G2,0,2,60.97,60.97,G,1.0
G22,0,22,21.59,21.59,G,1.0
G27,0,27,26.91,26.91,G,1.0
G23,0,23,19.2,19.2,G,1.0
G13,0,13,37.0,37.0,G,1.0
