ID,F_BUS,T_BUS,PF,PT,TYPE,TAP
E1,1,4,71.64102147448234,71.64102147448234,E,1.0
E2,4,5,30.703669762307918,30.53726287414006,E,1.0
E3,6,5,60.816585977109426,59.46273712586018,E,1.0
E4,3,6,85.0,85.0,E,1.0
E5,6,7,24.183414022891114,24.095417457392525,E,1.0
E6,8,7,76.37986616683597,75.90458254260807,E,1.0
E7,2,8,163.0,163.0,E,1.0
E8,8,9,86.6201338331656,84.3201625184497,E,1.0
E9,4,9,40.93735171217393,40.67983748155057,E,1.0
L5,5,0,90.0,90.0,L,1.0
L7,7,0,100.0,100.0,L,1.0
L9,9,0,125.0,125.0,L,1.0
G1,0,1,71.64102147448234,71.64102147448234,G,1.0
G2,0,2,163.0,163.0,G,1.0
G3,0,3,85.0,85.0,G,1.0
